sku,titulo,variante,Unidad,Unidades x dosis,contenido,dosis_totales,confianza,fuente,evidencia
VHMX00007,"Vitamina D-3 5000 UI Alta Potencia| Apoya sistema inmune y huesos | 30, 120 y 240 Cápsulas Blandas",30 cápsulas,Softgels,1,30,30,alta,texto,Tomar 1 cápsula blanda
VHMX00009,"Vitamina D-3 5000 UI Alta Potencia| Apoya sistema inmune y huesos | 30, 120 y 240 Cápsulas Blandas",240 cápsulas,Softgels,1,240,240,alta,texto,Tomar 1 cápsula blanda
VHMX00018,Vitamina D-3 Líquida de NOW Foods | Apoyo para la función Ósea y Sistema Inmune | 59ml,59ml,Gotas,4,59,132,alta,imagen,etiqueta: Serving Size 4 Drops (approx. 0.112 mL); 59ml / 0.448ml por serving ≈ 132 porciones
VHMX00024,Citrato de Magnesio 400 mg de NOW Foods | Apoyo al Sistema Nervioso y Energía | 90 Y 120 cápsulas vegetarianas,90 Cápsulas,Cápsulas vegetales,3,90,30,alta,texto,Tomar 3 cápsulas vegetales
VHMX00023,Citrato de Magnesio 400 mg de NOW Foods | Apoyo al Sistema Nervioso y Energía | 90 Y 120 cápsulas vegetarianas,120 Cápsulas,Cápsulas vegetales,3,120,40,alta,texto,Tomar 3 cápsulas vegetales
VHMX00332,"Mezcla de Electrolitos con Vitaminas Esenciales Hydration I.V. de Trace Minerals |  Hidratación Eficaz y Rápida, Bajo en",256g,Sticks,1,256,16,alta,imagen,etiqueta: Serving Size 1 packet (16g); 256g ÷ 16g = 16 porciones
VHMX00382,Berberina 400mg de Swanson | Apoyo del Sistema Cardiovascular y Metabólico | 60 cápsulas vegetales,60 cápsulas,Cápsulas,1,60,60,alta,texto,Tomar 1 cápsula
VHMX00010,"Vitamina D-3 2000 UI de NOW Foods | Fortalecimiento Óseo y del Sistema Inmune | 30, 120 y 240 cápsulas blandas",30 cápsulas,Softgels,1,30,30,alta,texto,Tomar 1 cápsula blanda
VHMX00011,"Vitamina D-3 2000 UI de NOW Foods | Fortalecimiento Óseo y del Sistema Inmune | 30, 120 y 240 cápsulas blandas",120 Cápsulas,Softgels,1,120,120,alta,texto,Tomar 1 cápsula blanda
VHMX00012,"Vitamina D-3 2000 UI de NOW Foods | Fortalecimiento Óseo y del Sistema Inmune | 30, 120 y 240 cápsulas blandas",240 Cápsulas,Softgels,1,240,240,alta,texto,Tomar 1 cápsula blanda
