sku,variant_id,ean,largo,problema,sugerencia,confianza,metodo,producto,variante
VHMX00382,49836323012929,"=""87614114118""",11,largo inválido (11),"=""087614114118""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Berberina 400mg de Swanson | Apoyo del Sistema Cardiovascular y Metabólico | 60 cápsulas vegetales,60 cápsulas
VHMX00843,50923580490049,"=""91234567834""",11,largo inválido (11),"=""091234567834""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Multivitamínico con Minerales, Aminoácidos, Hongos Adaptógenos para Hombres de Vitativa - Viggo Testo | Bienestar Masculino - Energía | Presentación de 230g en diferentes sabores",Uva
VHMX00274,50481567334721,"=""33674117507""",11,largo inválido (11),"=""033674117507""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Fem V 400mg de Nature's Way | Apoyo para el bienestar del ciclo menstrual - Promueve el bienestar general | 100 y 320 cápsulas veganas,100 cápsulas
VHMX00276,49048649433409,"=""33674108956""",11,largo inválido (11),"=""033674108956""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Aceite MCT Orgánico Coco de Nature's Way | Aumenta la Energía y la Resistencia | 480ml - 32 servicios,480ml
VHMX00277,49836318982465,"=""33674121979""",11,largo inválido (11),"=""033674121979""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Omega-3, 500mg NutraVege de Nature's Way  | Apoyo de la función cardiovascular | 30 cápsulas blandas",30 cápsulas
VHMX00280,49836319048001,"=""33674153871""",11,largo inválido (11),"=""033674153871""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Extracto de Ashwagandha 500mg de Nature's Way  | Contribuye a reducir la ansiedad y el estrés | 60 cápsulas veganas,60 cápsulas
VHMX00281,49836319113537,"=""33674156117""",11,largo inválido (11),"=""033674156117""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Resveratrol Mezcla Premium 650mg de Nature's Way | Proporciona una potente acción antioxidante y apoya la función cardiovascular | 60 cápsulas veganas,60 cápsulas
VHMX00282,49836319179073,"=""33674177006""",11,largo inválido (11),"=""033674177006""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Raíz de Valeriana 1590mg de Nature's Way  | Contribuye a aliviar la ansiedad y el estrés, promoviendo un sueño reparador | 100 cápsulas veganas",100 cápsulas
VHMX00283,49836319211841,"=""33674410103""",11,largo inválido (11),"=""033674410103""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Citrato de Calcio 500mg de Nature's Way  | Contribuye a fortalecer los huesos y las articulaciones | 100 cápsulas veganas,100 cápsulas
VHMX00284,49836319277377,"=""33674410417""",11,largo inválido (11),"=""033674410417""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Gluconato de Hierro 18mg de Nature's Way  | Fortalece Sistema Inmune, contribuyendo a aumentar energía y reducir fatiga  | 100 cápsulas veganas",100 cápsulas
VHMX00286,49836319375681,"=""33674156827""",11,largo inválido (11),"=""033674156827""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Mega DHA 1.000mg Omega 3 de Nature's Way | Apoya y promueve la función cognitiva y ocular | 60 cápsulas blandas,60 cápsulas
VHMX00383,49836323111233,"=""87614023953""",11,largo inválido (11),"=""087614023953""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Citrato de Potasio 99 mg de Swanson  | Apoya la función muscular, ayudando a prevenir calambres y mejorando el rendimiento físico | 120 cápsulas vegetales",120 cápsulas
VHMX00384,49836323144001,"=""87614019574""",11,largo inválido (11),"=""087614019574""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Ashwagandha 450mg de Swanson | Combate el estrés y la ansiedad, promoviendo el bienestar general | 100 cápsulas vegetales",100 Cápsulas
VHMX00385,49836323209537,"=""87614018089""",11,largo inválido (11),"=""087614018089""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),Complejo Triple de Magnesio 400mg de Swanson | Fortalecimiento óseo y dental - Aumenta energía y vitalidad | 120 cápsulas vegetales,100 cápsulas
VHMX00386,49836323275073,"=""87614018522""",11,largo inválido (11),"=""087614018522""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),L-Arginina 500 mg de Swanson | Apoyo Cardiovascular y del Sistema Inmunológico | 100 cápsulas vegetales,100 cápsulas
VHMX00387,49836323307841,"=""87614113715""",11,largo inválido (11),"=""087614113715""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitamina D3 5000 UI 125mcg de Swanson | Apoya la absorción de calcio, asegurando que el cuerpo utilice eficientemente este mineral crucial para la función ósea | 250 cápsulas blandas vegetales",250 cápsulas
VHMX00388,49836323373377,"=""87614023052""",11,largo inválido (11),"=""087614023052""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Melatonina de Triple Potencia 10mg de Swanson |  Ayuda a regular el ciclo del sueño, favoreciendo un ritmo circadiano saludable - Promueve la longevidad | 60 cápsulas vegetales",60 cápsulas
VHMX00389,49836323406145,"=""87614110042""",11,largo inválido (11),"=""087614110042""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Raíz de Rhodiola Rosea 400mg de Swanson | Aumenta la energía y la resistencia, ayudando a mejorar el rendimiento físico y mental | 100 cápsulas vegetales",100 cápsulas
VHMX00390,49836323471681,"=""87614010304""",11,largo inválido (11),"=""087614010304""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Vitamina B12 500 mcg de Swanson |  Producción de energía, combatiendo la fatiga - Favorece la función cerebral, contribuyendo a una mejor concentración y memoria | 100 y 250 cápsulas vegetales",100 cápsulas
VHMX00392,49836323569985,"=""87614025186""",11,largo inválido (11),"=""087614025186""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Ultra 5-HTP 100mg de Swanson  | Proporciona un descanso reparador, que ayuda a la relajación y buen estado de ánimo | 60 cápsulas vegetales",60 cápsulas
VHMX00393,49836323733825,"=""87614018744""",11,largo inválido (11),"=""087614018744""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Inositol 650mg de Swanson | Promueve la función Cerebral y Cognitiva, apoyando al equilibrio emocional | 100 cápsulas vegetales",100 cápsulas
VHMX00394,49836323799361,"=""87614019093""",11,largo inválido (11),"=""087614019093""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Saw Palmetto 540mg de Swanson | Bienestar masculino, que apoya el equilibrio hormonal | 100 y 250 cápsulas vegetales",100 cápsulas
VHMX02655,51513788498241,"=""87614019109""",11,largo inválido (11),"=""087614019109""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Saw Palmetto 540mg de Swanson | Bienestar masculino, que apoya el equilibrio hormonal | 100 y 250 cápsulas vegetales",250 cápsulas
VHMX00396,49836323864897,"=""87614142227""",11,largo inválido (11),"=""087614142227""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"Saw Palmetto 160 mg de Swanson | Bienestar masculino, ayuda a mantener una próstata saludable | 120 cápsulas vegetales",120 cápsulas
VHMX00398,49836323930433,"=""87614018263""",11,largo inválido (11),"=""087614018263""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),"L-Glutamina 500mg de Swanson | Ayuda en la recuperación muscular, aumentando los niveles de energía | 100 cápsulas vegetales",100 cápsulas
VHMX00400,49836323995969,"=""87614015262""",11,largo inválido (11),"=""087614015262""",alta,agregar el 0 inicial que borró la hoja de cálculo (UPC-12),DHEA 25mg de Swanson | Fortalecimiento Óseo y Promueve un envejecimiento saludable | 120 y 30 cápsulas vegetales,120 cápsulas
