SKU,EAN,ABC,Nombre,Marca,Proveedor,Estado,Stock_Real,Stock_Futuro,Dias_Inv,Compra_Sug,R_Shop,R_Meli,R_TikTok,R_Final
VHMX02528,657628668718,C,Probiótico + Prebiótico Vaginal de Briah | Mezcla Probiótica 6 cepas 2.5 UFC | 60 cápsulas para 30 días,Briah,OLSEGO GROUP,SIN_DATOS,137,137,0,0,0.0111,0.0068,0.0068,0
VHMX00333,878941004179,C,Citrato de Magnesio + Calcio + Potasio Max-Hydrate Endurance de Trace Minerals | Rehidrata tras ejercicio intenso | 10 tabletas,Trace Minerals,Superlabs,CUBIERTO,52,52,0,0,0,0,0.0333,0.0333
VHMX00073,733739001061,C,5-HTP 100 mg de Now Foods | Apoya la regulación del sueño | 60 y 120 cápsulas vegetales,NOW Foods,OLSEGO GROUP,SIN_DATOS,14,14,0,0,0,0,0,0
VHMX00404,87614110967,C,"Hongo Melena de León 500 mg de Swanson | Promueve la función cognitiva, la concentración y la memoria | 60 cápsulas vegetales",Swanson,Superlabs,SIN_DATOS,12,12,0,0,0,0,0,0
VHMX02628,8437025981441,C,Sticks de sabores de IVB | Para personalizar el sabor de tus complementos en polvo | 10 sobres,IVB,OLSEGO GROUP,SIN_DATOS,10,10,0,0,0,0,0,0
VHMX02633,8437025981144,C,VitalNatal Man de IVB | Bienestar reproductivo del hombre | 60 Cápsulas,IVB,OLSEGO GROUP,SIN_DATOS,10,10,0,0,0,0,0,0
VHMX02631,8437027176524,C,Vegan Omega 3+ | IVB Wellness Lab | DHA y EPA de Microalgas | 60 Cápsulas,IVB,OLSEGO GROUP,SIN_DATOS,9,9,0,0,0.0083,0,0,0
VHMX02562,7503045489043,C,"Biotina 500 mg Superlabs | Acompaña el bienestar de piel, cabello y uñas | 100 cápsulas",Superlabs Nutrition,Superlabs,SIN_DATOS,7,7,0,0,0,0,0,0
VHMX02509,657628668664,C,Shilajit estandarizado 500 mg de Briah | Vigor y Energía diaria para hombre| 60 cápsulas,Briah,OLSEGO GROUP,SIN_DATOS,7,7,0,0,0.0167,0,0.0136,0
VHMX02611,8437025981335,C,Creatine Essential de IVB | Creatina Ultrafiltrada Creavitalis® | 60 Servicios,IVB,OLSEGO GROUP,SIN_DATOS,7,7,0,0,0.0111,0,0,0
VHMX02634,8437025981137,C,Multivitamínico Prenatal VitalNatal Woman | Apoya necesidades prenatales | 60 cápsulas,IVB,OLSEGO GROUP,SIN_DATOS,7,7,0,0,0,0,0,0
VHMX00169,733739017437,C,"Aceite de Hígado de Bacalao 1,000 mg de Now Foods | Apoya la función cardiovascular | 90 cápsulas blandas",NOW Foods,OLSEGO GROUP,SIN_DATOS,7,7,0,0,0.0067,0,0.0067,0
VHMX00200,733739047380,C,Extracto de Cardo Mariano Doble Fuerza 300 mg de NOW Foods con Alcachofa y Diente de León | Apoya procesos naturales de detoxificación | 50 Cápsulas Vegetarianas,NOW Foods,OLSEGO GROUP,CUBIERTO,9,9,90,0,0.0076,0,0.1,0.1
VHMX01810,8437025981052,C,ZeroDol Palmitoiletanolamida 500 mg | IVB Wellness Lab | Bienestar articular y muscular | 60 Cápsulas,IVB,OLSEGO GROUP,CUBIERTO,19,19,114,0,0.0333,0.0667,0,0.1667
VHMX00170,733739017901,C,"Aceite de ajo 1500 mg Garlic Oil de NOW Foods | Favorece la función cardiovascular, contribuye al bienestar inmunológico | 100 Cápsulas Blandas",NOW Foods,OLSEGO GROUP,CUBIERTO,10,10,150,0,0.0111,0,0.0083,0.0667
